[ID],[CarMadeYear],[Car Name],[Features],[Features_2],[Features_3],[Features_4],[Features_5],[Features_6],[Features_7],[Features_8],[Features_9],[Features_10],[Features_11],[Features_12],[Features_13],[Features_14],[Features_15],[Features_16],[Standard Equipment],[Standard Equipment_2],[Standard Equipment_3],[Standard Equipment_4],[Standard Equipment_5],[Standard Equipment_6],[Standard Equipment_7],[Standard Equipment_8],[Standard Equipment_9],[Standard Equipment_10],[Standard Equipment_11],[Standard Equipment_12],[Standard Equipment_13],[Standard Equipment_14],[Standard Equipment_15],[Standard Equipment_16],[Standard Equipment_17],[Standard Equipment_18],[Standard Equipment_19],[Standard Equipment_20],[Standard Equipment_21],[Standard Equipment_22],[Standard Equipment_23],[Standard Equipment_24],[Standard Equipment_25],[Standard Equipment_26],[Standard Equipment_27],[Standard Equipment_28],[Standard Equipment_29],[Standard Equipment_30],[Standard Equipment_31],[Standard Equipment_32],[Standard Equipment_33],[Standard Equipment_34],[Standard Equipment_35],[Standard Equipment_36],[Standard Equipment_37],[Standard Equipment_38],[Standard Equipment_39],[Standard Equipment_40],[Standard Equipment_41],[Standard Equipment_42],[Standard Equipment_43],[Standard Equipment_44],[Standard Equipment_45],[Standard Equipment_46],[Standard Equipment_47],[Standard Equipment_48],[Standard Equipment_49],[Standard Equipment_50],[Standard Equipment_51],[Standard Equipment_52],[Standard Equipment_53],[Standard Equipment_54],[Standard Equipment_55],[Standard Equipment_56],[Standard Equipment_57],[Standard Equipment_58],[Standard Equipment_59],[Standard Equipment_60],[Standard Equipment_61],[Standard Equipment_62],[Standard Equipment_63],[Standard Equipment_64],[Standard Equipment_65],[Standard Equipment_66],[Standard Equipment_67],[Standard Equipment_68],[Sellers Notes],[Dealer Name],[Dealer Address],[Image URL 1],[Image URL 2],[Price],[Mileage],[Fuel],[Body Style],[Engine],[Exterior Color],[Transmission],[Interior Color],[Stock #],[Drivetrain],[VIN],[Doors],[Wheelbase],[Page URL],, , 
1,2009,2009 Honda Civic LX,000lbs),"700mm (106.3"")",ABS brakes,Air conditioning,AM/FM radio,Cylinder configuration I-4,Drive type front-wheel,Engine displacement 1.8 L,Engine liters 1.8,Power steering,Power windows,Tilt steering wheel,Towing capacity 454kg (1,Transmission 5 speed automatic,Wheelbase 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,555 ",,,Sedan,1.8L I-4,,5 speed automatic,,TEST4,FWD,2HGFA165X9H309193,,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=82805279&listingRecNum=0&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
2,2011,2011 Honda Civic GX,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,910,AM/FM stereo,Anti-theft alarm system,Audio system security,Bucket front seats,Cargo area light,Center Console: Full with covered storage,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Curb weight: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Coast Car Zone,2845 Harbor Blvd Costa Mesa CA 92626 (Map),http://www.cstatic-images.com/phototab/DMI/100536/2206.jpg,http://www.cstatic-images.com/phototab/DMI/100536/2206.02.jpg,"$31,900 ","18,328",Compressed Natural Gas,Sedan,1.8L I4 16V MPFI SOHC CNG,Black,5-Speed Automatic,Gray,2206,FWD,19XFA4F56BE000354,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86260041&listingRecNum=1&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
3,2006,2006 Honda Civic Si,4 Wheel Disc Brakes,Additional Power Outlet(S),Air Bag - Driver,Air Bag - Passenger,Air Bag - Side,Air Bags - Head,Air Conditioning,Alloy Wheels,AM/FM Stereo,Audio Input Jack,Audio-Satellite Radio,Audio-Upgrade Sound System,Blue Tooth Communications,Brakes-Abs-4 Wheel,Bucket Seats,CD Player,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,Anti-theft alarm system,Audio controls on steering wheel,Audio system security,Body-colored grille,Cargo area light,Center Cons,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 23,Fuel Consumption: Highway: 32,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.7,Max cargo capacity: 11,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Spare Tire Mount Location: Inside under cargo,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Steel spare wheel rim,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Total Number of Speakers: 7,Variable intermittent front wipers,"Seller's Notes: Our 2006 Honda Civic Si Tuner Car is a complete one-of-a-kind Civic that was expertly constructed here at J.L. Freed. Where to begin with all the amazing features: the Honda Factory Performance (HFP) 18 alloy wheels are wrapped in 215/40-ZR18-85W performance tires. A full HFP aero kit that includes front, side and rear underbody spoilers and a Carbon Fiber Seibon MG hood lightens the overall weight. The dazzling Lambo-style scissor doors always attract a crowd. To bring this one-off Si to a stop is a set of 13 Brembro Calipers clamping down on cross-drilled rotors. Handling also gets an assist from an HFP suspension kit both front and rear. Extra power is pulled from the already potent Si engine by a HFP cat-back exhaust system. The entire exterior of this car is custom painted and pinstriped with a two-tone paint job and custom barbwire accents. The real beauty of this car is in the interior. A complete in-car entertainment system that includes a Mac Mini, a full touch-screen monitor, while the rear seating has been replaced with an amp/battery rack, and a flat screen TV. Audio is sourced through a Kenwood Receiver and plays beautifuly through a custom sound system with center channel speakers. This amazing Civic Si will make a statement wherever you go, and you dont have to worry about anyone having the same Civic as yours!",,,http://www.cstatic-images.com/phototab/DMI/7989/H64651.jpg,http://www.cstatic-images.com/phototab/DMI/7989/H64651.02.jpg,"$29,995 ","1,248",Gasoline,Coupe,2.0L I4 16V MPFI DOHC,Navy Blue,6-Speed Manual,Black,H64651,FWD,2HGFG21516H702958,2,"104""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=84373489&listingRecNum=2&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
4,2012,2012 Honda Civic Natural Gas w/ Navigation,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,AM/FM/Satellite Radio,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Bluetooth HandsFreeLink wireless phone connectivity,Braking Assist,Bucket front seats,Cargo area light,Cente,Clock: In-dash,Cloth seat upholstery,Coil front spring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda Motorwerks,500 4th St S La Crosse WI 54601 (Map),http://www.cstatic-images.com/phototab/DMI/17224/512025.jpg,http://www.cstatic-images.com/phototab/DMI/17224/512025.02.jpg,"$29,901 ","1,090",Compressed Natural Gas,Sedan,1.8L I4 16V MPFI SOHC CNG,Alabaster Silver Met...,5-Speed Automatic,Stone,512025,FWD,19XFB5F5XCE000121,4,"105""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=82541512&listingRecNum=3&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
5,2012,2012 Honda Civic SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,903 ","2,965",,,2.4L,Rallye Red,6-Speed Manual,Black,H1612,,2HGFG4A5XCH700679,2,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87386746&listingRecNum=4&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
6,2011,2011 Honda Civic SI NAVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,995 ","8,924",,,2.0L,Crystal Black Pearl,6-Speed Manual,Black,51896,,2HGFG2A57BH700951,2,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=86522192&listingRecNum=5&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
7,2010,2010 Honda Civic GX,ABS Brakes,Air Conditioning,AM/FM,CD Player,Clock,Cloth Interior Surface,Driver Airbag,Intermittent Wipers,Keyless Entry,Power Door Locks,Power Mirrors,Power Steering,Rear Defogger,Telescoping Steering Wheel,Tilt Steering Wheel,Traction Control,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,910,AM/FM stereo,Anti-theft alarm system,Audio system security,Bucket front seats,Cargo area light,Center Console: Full with covered storage,Clock: In-radio display,Cloth seat upholstery,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Curb weight: 2,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,External temperature display,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front Ventilated disc brakes,Fuel Capacity: 8.0,Fuel Consumption: City: 24,Fuel Consumption: Highway: 36,Fuel Type: Natural gas,Grille with chrome bar,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Intermittent front wipers,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 10.1,Max cargo capacity: 6,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,Metal-look shift knob trim,MP3 player,Overall height:,Overall Length: 177.3,Overall Width: 69.0,Passenger Airbag,Plastic/vinyl steering wheel trim,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Privacy glass: Light,Rear bench,Rear spoiler: Lip,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Spare Tire Mount Location: Inside under cargo,Speed Sensitive Audio Volume Control,Speed-proportional power steering,Steel spare wheel rim,Strut front suspension,Suspension class: Regular,Tachometer,"Seller's Notes: GREAT FUEL ECONO 36 MPG Hwy/24 MPG City! Honda Mall of GA has a THREE DAY NO QUESTIONS ASKED RETURN POLICY on ALL OUR CERTIFIED HONDA's., Spotless, LOW MILES - 7,395! CD Player, Steel Wheels, Overhead Airbag, iPod/MP3 Input READ MORE... ======DRIVE WITH CONFIDENCE: Additional 1-year/12,000-mile Non-Powertrain Warranty, Balance of original 7-year/100,000-Mile Powertrain Warranty, No Deductible, 150-Point Mechanical and Appearance Inspection and Reconditioning, Vehicle History Report ======KEY FEATURES INCLUDE: iPod/MP3 Input, CD Player, Steel Wheels. MP3 Player, Keyless Entry, Remote Trunk Release, Child Safety Locks, Traction Control. ======VEHICLE REVIEWS: The Honda Civic continues to hold its position at the top of the compact class, thanks to innovative styling, refinement, reliability, and a broad model line. -newCarTestDrive.com. 5 Star Driver Front Crash Rating. 4 Star Driver Side Crash Rating. Great Gas Mileage: 36 MPG Hwy. ======OUR OFFERINGS: Honda Mall of GA has a THREE DAY NO QUESTIONS ASKED RETURN POLICY on ALL OUR CERTIFIED HONDA's. Got a Honda lease return due? Honda Mall of Georgia will pay you $100.00 dollars to return it @ our store. Fuel economy calculations based on original manufacturer data for trim engine configuration. Please confirm the accuracy of the included equipment by calling us prior to purchase. If you would like a ""No Nonsense, No Obligation"" approach to finding your next Honda from Honda Mall of Georgia, combined with Guaranteed Additional Internet Savings, please call us!!",Honda Mall of Georgia,3699 Buford Drive Buford GA 30519 (Map),http://www.cstatic-images.com/phototab/DMI/106759/6452.jpg,http://www.cstatic-images.com/phototab/DMI/106759/6452.02.jpg,"$26,659 ","7,395",Compressed Natural Gas,Sedan,1.8L I4 16V MPFI SOHC CNG,Taffeta White,5-Speed Automatic,Gray,6452,FWD,19XFA4F52AE000432,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=84196445&listingRecNum=6&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
8,2008,2008 Honda Civic Si Mugen,ABS (4-Wheel),Air Conditioning,AM/FM Stereo,Dual Air Bags,Moon Roof,Mp3 (Single Disc),Power Door Locks,Power Steering,Premium Sound,Premium Wheels,Rear Spoiler,Side Air Bags,Tilt Wheel,,,,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system security,Cargo area light,Center Co,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspension stabilizer bars,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.8,Max cargo capacity: 12,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear seats center armrest,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Spare Tire Mount Location: Inside under cargo,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Steel spare wheel rim,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,Total Number of Speakers: 7,"Seller's Notes: call 866-413-5321 or, come visit our Internet Sales Department at Own A Car Located on the corner of Bullard and Blackstone in Fresno, CA. We are open Monday thru Saturday 9:00a.m.- 9:00 p.m., & Sunday's 10:00 a.m. - 7:00 p.m. Call toll free 866-413-5321 or, come visit our Internet Sales Department at Own A Car and ask for Nick Sadeddeen, located on the corner of Bullard and Blackstone in Fresno, CA. We are open Monday thru Saturday 9:00a.m.- 8:00 p.m., & Sunday's 10:00 a.m. - 6:00 p.m.",,,,,"$26,495 ","40,320",Gasoline,Sedan,2.0L I4 16V MPFI DOHC,Blue,6-Speed Manual,Grey,14715,FWD,2HGFA55578H700048,4,"106""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87744039&listingRecNum=7&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
9,2012,2012 Honda Civic EX-L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,995 ","13,063",,,1.8L,Polished Metal Metal...,5-Speed Auto,Gray,21949P,,19XFB2F99CE300055,4,,http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=87132748&listingRecNum=8&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
10,2009,2009 Honda Civic Si,4 Wheel Disc Brakes,ABS Brakes,Air Conditioning,AM/FM Radio,Anti-Whiplash Front Head Restraints,Brake Assist,Bumpers: Body-Color,CD Player,Door Mirrors: Body-Color,Driver Door Bin,Driver Vanity Mirror,Dual Front Impact Airbags,Dual Front Side Impact Airbags,Electronic Stability,Front Bucket Seats,Front Center Armrest,1st and 2nd row curtain head airbags,4-wheel ABS Brakes,ABS and Driveline Traction Control,Anti-theft alarm system,Audio controls on steering wheel,Audio system memory card slot,Audio system security,Braking Assist,Cargo area light,Clock: In-radio display,Coil front spring,Coil rear spring,Cruise control,Cruise controls on steering wheel,Daytime running lights,Digital Audio Input,Double wishbone rear suspension,Driver Seat Head Restraint Whiplash Protection,Dual vanity mirrors,Express open/close glass sunroof,External temperature display,Fold forward seatback rear seats,Four-wheel Independent Suspension,Front and rear suspe,Front fog/driving lights,Front reading lights,Front sport seat,Front Ventilated disc brakes,Fuel Capacity: 13.2,Fuel Consumption: City: 21,Fuel Consumption: Highway: 29,Fuel Type: Premium unleaded,Head Restraint Whiplash Protection with Passenger Seat,In-Dash single CD player,Independent front suspension classification,Independent rear suspension,Instrumentation: Low fuel level,Interior air filtration,Leather/aluminum shift knob trim,Leather/metal-look steering wheel trim,Manual front air conditioning,Manufacturer's 0-60mph acceleration time (seconds): 6.7,Max cargo capacity: 11,Mechanical remote trunk release,Metal-look center console trim,Metal-look door trim,MP3 player,Passenger Airbag,Power remote driver mirror adjustment,Power remote passenger mirror adjustment,Power windows,Premium cloth seat upholstery,Privacy glass: Light,Rear bench,Rear spoiler: Wing,Rear Stabilizer Bar: Regular,Regular front stabilizer bar,Remote power door locks,Side airbag,Silver aluminum rims,Speed Sensitive Audio Volume Control,Speed-proportional electric power steering,Stability control,Strut front suspension,Suspension class: Sport,Tachometer,Tilt and telescopic steering wheel,Tire Pressure Monitoring System,"Seller's Notes: Do you dread fueling up? You will stop at the gas station less in this fuel efficient Honda Civic! Equipped with air conditioning, CD player, adjustable head rests, AM/FM radio, aux jack, CD player, center console, cloth interior, cruise control, cup holder, keyless entry, leather wrapped steering wheel, sunroof, manual transmission, sunroof, power door locks, power windows, and much more. Search no more.. this rare find has your name written all over it. Let's go for a test drive! Speck Dealerships has been a family owned and operated business for 100 years thanks to our large selection of vehicles, friendly staff, superior customer service, and willingness to negotiate on prices. We work with over 30 different banks and have extremely low interest rates available (on approved credit). Give us a call today to see what we can do for you! All prices plus applicable sales tax, license, and a negotiable documentary service fee up to $150 may be added to sales price or capitalized cost of the vehicle. One vehicle unless otherwise noted and subject to prior sale without notice. While supplies last. Expires 04/11/2012.",,,http://www.cstatic-images.com/phototab/DMI/106217/U700097.jpg,http://www.cstatic-images.com/phototab/DMI/106217/U700097.02.jpg,"$25,995 ","35,211",Gasoline,Coupe,2.0L I4 16V MPFI DOHC,Dyno Blue Pearl,6-Speed Manual,,U700097,FWD,2HGFG21539H700097,2,"104""",http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=69236977&listingRecNum=9&criteria=sf1Dir%3DDESC%26mkId%3D20017%26stkTyp%3DU%26mdId%3D20823%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D36117%26rn%3D0%2,,,
