[ID],[Name],[details],[Image URL 1],[Image URL 2],[Image URL 3],[Image URL 4],[Image URL 5],[Image URL 6],[Image URL 7],[Image URL 8],[Image URL 9],[Page URL],[Page Title]
"1","1959 Mercedes-Benz 190 - $45,000","About This 190 





Mileage: 4,341 
Body Style: Sedan 
Exterior Color: Black 
Interior Color: Red 
Stock #: 104434 
VIN: 11111111111111111 


Engine: 4 
Transmission: 4-Speed 
CARFAX Record Check 




Features: 






Alloy Wheels


Cassette








Seller's Notes: To see more photos of this vehicle please visit us at www.dashmotors.com






 0 consumer reviews | Write a review 

About the Dealer

 


Dash Motors 
8132 Sudley Rd Manassas VA 20109 (Map) 
 877-468-2975  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/110010/104434/01.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/02.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/03.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/04.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/05.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/06.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/07.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/08.jpg","http://www.cstatic-images.com/preview/DMI/110010/104434/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=73204968&listingRecNum=0&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1959 Mercedes-Benz 190, $45,000 - Cars.com"
"2","1984 Mercedes-Benz 1901936 REPLICA - $12,950","About This 190 





Mileage: 3,700 
Body Style: Sedan 
Exterior Color: White 
Interior Color: Brown 
Stock #: EM014171 
VIN: 1V9DA11A2EM014171 


Fuel: Gasoline 
Engine: 4 Cylinder 
Transmission: Automatic 
Doors: 2 
View the Free CARFAX 
Vehicle History Report 




Features: 






Air Conditioning


Alloy Wheels




AM/FM Stereo Radio


Audio Cassette Player




Fog Lights


Front Bucket Seats













Leather Upholstery


Tilt Steering Wheel







Show Additional Features Show Additional FeaturesHide Additional Features 


Seller's Notes: Living in the lap of luxury...Definatly! Big 12 Auto specializes in below market priced bargain transportation starting at $1995 to luxury cars and trucks at $29950 all mechanically checked with warranties available.From Tulsa take the Lynn Lane Exit , a Right onto Lynn Lane , Take the Right onto Kenosha (71st) and we're on the left. Mention this Cars.com ad and receive an additional $100 off of this internet price!Financing available!






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Big 12 Auto Sales.com 
321 E Kenosha St Broken Arrow OK 74012 (Map) 
 888-409-4023  
(4.0) 2 reviews | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/207184/EM014171/01.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/02.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/03.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/04.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/05.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/06.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/07.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/08.jpg","http://www.cstatic-images.com/preview/DMI/207184/EM014171/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=99530822&listingRecNum=1&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1984 Mercedes-Benz 1901936 REPLICA, $12,950 - Cars.com"
"3","1986 Mercedes-Benz 190190E 2.3 - $11,995","About This 190 





Mileage: 15,253 
Body Style: Sedan 
Exterior Color: Off White 
Interior Color: Tan 
Stock #: 216444 
VIN: WDBDA24D0GF216444 


Fuel: Gasoline 
Engine: 2.3L I4 8V SOHC 
Transmission: UNSPECIFIED 
Drivetrain: RWD 
Doors: 4 
Wheelbase: 0"" 
CARFAX Record Check 




Features: 






4 Door


Air Conditioning




Alarm


AM/FM Radio




Anti-Theft


Antilock Brakes













Automatic Headlight


CD Player




Cruise Control


Daytime Running Lights




Driver Air Bag


Front Wheel Drive




Information Center


Leather Seats




Manual Transmission


Passenger Air Bag




Power Door Locks


Power Mirrors




Power Seats


Power Steering




Power Windows


Rear Air Conditioning




Rear Defrost


Stereo/Tape




Sun/Moon Roof


Tilt Steering




Tinted Windows


Trip/Mileage Computer







Show Additional Features Show Additional FeaturesHide Additional Features 


Seller's Notes: This Vechile Is Truly One Of A Kind!!!! 1986 Mercedes Benz 190 E 2.3!!!! This Is One 5 Speed Manuel Transmission That Drives Like A Dream!!! Comes With Full Power, Hard Top Sunroof, Tinted Windows, Cruise Control, Leather Seats (Interior), And So Much More!!!! Come And Test Drive This Unique, One Of A Kind Sunday Ride Today Before It's Gone!!!! THE FINEST PRE-OWNED CARS AND TRUCKS THAT YOU WILL EVER FIND. COMPLETELY SERVICED AND READY TO GO.






 (4.0) 2 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


John Warne Motors 
100 E Pike St Canonsburg PA 15317 (Map) 
 866-595-9981  
(5.0) 1 review | Review this Dealer 



Used Car Specials

See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/202437/216444/01.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/02.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/03.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/04.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/05.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/06.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/07.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/08.jpg","http://www.cstatic-images.com/preview/DMI/202437/216444/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=72610292&listingRecNum=2&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1986 Mercedes-Benz 190190E 2.3, $11,995 - Cars.com"
"4","1987 Mercedes-Benz 190E16 - $10,900","About This 190 





Mileage: 131,000 
Body Style: Sedan 
Exterior Color: Gray 
Interior Color: Black 


Fuel: Gasoline 
Engine: 4 Cylinders 
Transmission: Manual 
Drivetrain: 2WD 
Doors: 4 
CARFAX Record Check 




Features: 






A/C: Front


Airbag: Driver




Airbag: Passenger


Alarm




Alloy Wheels


Anti-Lock Brakes













Bucket Seats


Cassette Radio




Cruise Control


Fog Lights




Leather Interior


Power Locks




Power Seats


Power Steering




Power Windows


Rear Window Defroster




Sunroof/Moonroof

 






Show Additional Features Show Additional FeaturesHide Additional Features 


Selling Points: A rare find. This is the 16valve 2.3 litre Cosworth engine, 5speed transmission, light champagne color. Only about 2000 of these cars were imported, all in 19861987 and less than half had manual transmissions. I bought this car twelve years ago and have driven it less than 10,000 miles never in the snow or even the rain. Always garaged. The engine was completely rebuilt by a Mercedestrained mechanic shortly after I bought it.I dont drive the car enough to justify keeping it. Email me for more information. 

Condition: Excellent condition no rust, no cracks in dash, no wear on the leather. Rebuilt engine runs a little rough needs a good Mercedes specialist to tune it. I live in upstate NY and did not have the A/C reconnected during the rebuilding. 



 0 consumer reviews | Write a review 

About the Seller

Jay W 
Vehicle Location: Ballston Lake, NY 




Related Services for Car Buyers and Sellers

Sell your car on Cars.com
Find the car you want, sell the car you have
Reach 10 million shoppers and make thousands over trade-in
Sell Your Car 

Inspect this car using SGS Vehicle Inspections
Schedule the 150-point inspection today 

Buy this car securely using escrow.com
Protect yourself today and receive special Cars.com pricing 

Ship this car with Dependable Auto Shippers
Get a free, instant online quote now 






Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-1.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-2.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-3.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-4.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-5.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-6.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-7.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-8.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_ccaa5d8e8cbce1158f5b061b52785ed2/i-1.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=95502322&listingRecNum=3&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1987 Mercedes-Benz 190E16, $10,900 - Cars.com"
"5","1987 Mercedes-Benz 190E16 - $10,500","About This 190 





Mileage: 113,500 
Body Style: Sedan 
Exterior Color: Silver 
Interior Color: Black 
VIN: WDBDA34D4HF341311 


Fuel: Gasoline 
Engine: 4 Cylinders 
Transmission: Automatic 
Drivetrain: RWD 
Doors: 4 
CARFAX Record Check 




Features: 






A/C: Front


Airbag: Driver




Alarm


Alloy Wheels




Anti-Lock Brakes


Bucket Seats













Cassette Radio


Cruise Control




Fog Lights


Leather Interior




Power Locks


Power Seats




Power Steering


Power Windows




Rear Window Defroster

 






Show Additional Features Show Additional FeaturesHide Additional Features 


Selling Points: Exceptional, Accident and Rust Free. Low Mileage With Records. Not Many Left Like This One. Outstanding Condition. 

Condition: All New Tires, Brakes With Pads Rotors And Hoses. Rebuilt Transmission. Rebuilt Air Conditioner Compressor, All New Air Conditioner And Heater Vacuum Controls. Rebuilt Fuel Distributor New Fuel Injectors. New Timing Chain And Tensioner. All New Heater And Radiator Hoses. New Spark Plugs With Wires, Distributor Cap And Rotor. The List Goes On. 



 0 consumer reviews | Write a review 

About the Seller

Don 
Vehicle Location: Dover, FL 
 813-951-0827  (Daytime) 




Related Services for Car Buyers and Sellers

Sell your car on Cars.com
Find the car you want, sell the car you have
Reach 10 million shoppers and make thousands over trade-in
Sell Your Car 

Inspect this car using SGS Vehicle Inspections
Schedule the 150-point inspection today 

Buy this car securely using escrow.com
Protect yourself today and receive special Cars.com pricing 

Ship this car with Dependable Auto Shippers
Get a free, instant online quote now 






Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-1.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-2.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-3.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-4.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-5.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-6.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-7.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-8.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://view.admission.net/abc/carsads/_CARSADS_e048c86610e9776dab78c2b339b79d4c/i-9.JPG?t=tr/w:59/h:48/m:FitPad/b:dddddd","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=99182142&listingRecNum=4&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1987 Mercedes-Benz 190E16, $10,500 - Cars.com"
"6","1986 Mercedes-Benz 190190E 2.3-16 - $9,988","About This 190 





Mileage: 142,668 
Body Style: Sedan 
Exterior Color: Blue 
Interior Color: Black 
Stock #: C1087 
VIN: WDBDA34D7GF244926 


Fuel: Gasoline 
Engine: 2.3L I4 16V DOHC 
Transmission: Manual 
Drivetrain: RWD 
Doors: 4 
Wheelbase: 0"" 
CARFAX Record Check 




Seller's Notes: 190 E WITH COSWORTH DRIVER TRAIN. DRIVES AMAZING.






 (4.0) 2 consumer reviews | Write a review 



Live Chat: 

About the Dealer

Highline Motors 
4321 S Mason St Fort Collins CO 80525 (Map) 
 877-463-7599  
(5.0) 1 review | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/98741/C1087/01.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/02.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/03.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/04.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/05.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/06.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/07.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/08.jpg","http://www.cstatic-images.com/preview/DMI/98741/C1087/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=91835122&listingRecNum=5&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1986 Mercedes-Benz 190190E 2.3-16, $9,988 - Cars.com"
"7","1991 Mercedes-Benz 190190E 2.3 - $4,995","About This 190 





Mileage: 145,685 
Body Style: Sedan 
Exterior Color: White 
Stock #: 10555 
VIN: WDBDA28D6MF765202 


Fuel: Gasoline 
Engine: 2.3L I4 8V SOHC 
Transmission: 5-Speed Manual 
Drivetrain: RWD 
Doors: 4 
Wheelbase: 0"" 
CARFAX Record Check 




Features: 






A/C


Abs




Aluminum Wheels


AM/FM Stereo




Bucket Seats


Cassette













Climate Control


Cloth Seats




Cruise Control


Driver Air Bag




Driver Air Bag


Heated Mirrors




Leather Seats


M/T




Passenger Air Bag


Power Door Locks




Power Driver Seat


Power Passenger Seat




Power Steering


Power Windows




Premium Synthetic Seats


Security System




Sun/Moonroof

 






Show Additional Features Show Additional FeaturesHide Additional Features 


Seller's Notes: Contact Spanky?s today at 866-999-5752 to inquire about our additional inventory of quality used Cars!






 (5.0) 1 consumer review | Write a review 



Live Chat: 

About the Dealer

 


Spankys Auto Group LLC 
605 E Locust St Mechanicsburg PA 17055 (Map) 
 866-999-5752  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/2160028/10555/01.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/02.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/03.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/04.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/05.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/06.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/07.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/08.jpg","http://www.cstatic-images.com/preview/DMI/2160028/10555/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=97873500&listingRecNum=6&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1991 Mercedes-Benz 190190E 2.3, $4,995 - Cars.com"
"8","1993 Mercedes-Benz 1902.3 - $4,990","About This 190 





Mileage: 109,022 
Body Style: Sedan 
Exterior Color: Champagne 
Stock #: 10021 
VIN: WDBDA28D9PG078326 


Fuel: Gasoline 
Engine: 2.3L I4 8V SPFI SOHC 
Transmission: Automatic 
Doors: 4 
Wheelbase: 110"" 
CARFAX Record Check 




Features: 






ABS (4-Wheel)


Air Conditioning




Alloy Wheels


Cassette




Power Door Locks


RWD








Standard Equipment: 






4 Door


4-wheel ABS Brakes




AM/FM stereo


Automatic front air conditioning




Cassette player


Cruise control













Diameter of tires: 15.0


Door pockets: Driver and passenger




Dual illuminated vanity mirrors


External temperature display




Front and rear suspension stabilizer bars


Front Disc brakes




Front fog/driving lights


Front reading lights




Fuel Capacity: 14.5


Fuel Consumption: City: 20




Fuel Type: Regular unleaded


Heated driver mirror




Heated passenger mirror


Leather steering wheel trim




Overall height: 54.1


Overall Length: 175.1




Overall Width: 66.5


Power remote driver mirror adjustment




Power remote passenger mirror adjustment


Power steering




Power windows


Privacy glass: Light




Rear Stabilizer Bar: Regular


Regular front stabilizer bar




Retractable antenna


Seatback storage: 2




Tachometer


Tires: Prefix: P




Tires: Profile: 65


Tires: Width: 185




Wheelbase: 110.2

 






Show Additional Standard Equipment Show Additional Standard EquipmentHide Additional Standard Equipment 


Seller's Notes: "" Serving the community for over 30 years!!"" We are a family owned business, with over 350 vehicles to choose from! Please see our entire inventory at www.bergcarcompany.com






 (4.2) 5 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Berg Car Company 
10680 SW Canyon Rd Beaverton OR 97005 (Map) 
 866-398-0682  
(4.7) 3 reviews | Review this Dealer 



Used Car Specials

See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","","","","","","","","","","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=20240549&listingRecNum=7&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1993 Mercedes-Benz 1902.3, $4,990 - Cars.com"
"9","1993 Mercedes-Benz 1902.6 - $4,500","About This 190 





Mileage: 125,619 
Body Style: Sedan 
Exterior Color: Tan 
Interior Color: Beige / Tan 
Stock #: 8301 
VIN: WDBDA29D3PG033882 


Fuel: Gasoline 
Engine: 2.6L I6 12V SPFI SOHC 
Transmission: Automatic 
Doors: 4 
Wheelbase: 0"" 
CARFAX Record Check 




Features: 






4-Speed A/T


4-Wheel ABS




A/C


A/T




Aluminum Wheels


Cell Phone Hookup













Climate Control


Driver Air Bag




Driver Illuminated Vanity Mirror


Driver Vanity Mirror




Fog Lamps


Front Reading Lamps




Gasoline Fuel


Heated Mirrors




Intermittent Wipers


Leather Wrapped Steering Wheel




Passenger Air Bag


Passenger Illuminated Visor Mirror




Passenger Vanity Mirror


Power Driver Mirror




Rear Defrost


Straight 6 Cylinder Engine




Tires - Front All-Season


Tires - Rear All-Season




Variable Speed Intermittent Wipers

 






Show Additional Features Show Additional FeaturesHide Additional Features 


Standard Equipment: 






4 Door


4-wheel ABS Brakes




AM/FM stereo


Automatic front air conditioning




Bucket front seats


Cassette player













Cruise control


Diameter of tires: 15.0""




Door pockets: Driver and passenger


Dual illuminated vanity mirrors




External temperature display


Front and rear suspension stabilizer bars




Front Disc brakes


Front fog/driving lights




Front reading lights


Fuel Capacity: 14.5 gal.




Fuel Type: Regular unleaded


Heated driver mirror




Heated passenger mirror


Leather steering wheel trim




Overall height: 54.1""


Overall Length: 175.1""




Overall Width: 66.5""


Power remote driver mirror adjustment




Power remote passenger mirror adjustment


Power steering




Power windows


Privacy glass: Light




Rear Stabilizer Bar: Regular


Regular front stabilizer bar




Retractable antenna


Seatback storage: 2




Tachometer


Tires: Prefix: P




Tires: Profile: 65


Tires: Width: 185 mm







Show Additional Standard Equipment Show Additional Standard EquipmentHide Additional Standard Equipment 


Seller's Notes: SUPER CLEAN LUXURY SEDAN, FULLY EQUIPPED WITH POWER WINDOWS, DOOR LOCKS, TILT, CRUISE, LEATHER INTERIOR, DUAL POWER SEATS, IN DASH AM/FM CD Mp3 PLAYER, AUX INPUT FOR I-POD, SLIDING SUN ROOF, AIR CONDITIONING, 4 WHEEL ABS, ALLOY WHEELS AND MORE...NO ACCIDENTS CARFAX CERTRIFIED....LOOKS AND RUNS LIKE NEW...30 DAY / 1,000 MILE WARRANTY ON POWERTRAIN....SE HABLA ESPAOL....FOR MORE INFO CALL 866-702-7235 ASK FOR ROBERT OR GABY. Valley Coach has been in business at the same location since 1994. Most of our inventory comes from new car dealers trades and lease returns. Every car sold will go through a safety inspection and we will provide the customer with a copy of the inspection report. We enjoy making our customers feeling at home making it a great car buying experience.






 (4.2) 5 consumer reviews | Write a review 

About the Dealer

 


Valley Coach Co. 
5820 Van Nuys Blvd. Van Nuys CA 91401 (Map) 
 866-702-7235  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/108620/8301/01.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/02.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/03.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/04.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/05.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/06.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/07.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/08.jpg","http://www.cstatic-images.com/preview/DMI/108620/8301/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=99674367&listingRecNum=8&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%2","1993 Mercedes-Benz 1902.6, $4,500 - Cars.com"
"10","1991 Mercedes-Benz 190190E 2.3 - $4,491","About This 190 





Mileage: 133,734 
Body Style: Sedan 
Exterior Color: Gold 
Interior Color: Beige 
Stock #: PMF740446 
VIN: WDBDA28D8MF740446 


Fuel: Gasoline 
Engine: 2.3L I4 8V SOHC 
Transmission: Automatic 
Drivetrain: RWD 
Doors: 4 
Wheelbase: 0"" 
View the Free CARFAX 
Vehicle History Report 




Seller's Notes: Thank you for choosing Beverly Hills BMW located in California. We are a Sonic Automotive Premier Dealership and strive every day to make your experience with us unforgettable. Sonic Automotive is one of the largest automotive retailers in the United States and a true leader in the industry. Our mission is to be one of America's best places to work and shop. Our dealerships offer a variety of services from new and used vehicle sales, warranty, extended warranty, collision repair, parts replacement, financing and insurance. Best of all, we offer a competitive price on each and every vehicle we sell. By using the selling price of similar vehicles in your market, we can assure that you are being offered a price that is straightforward, accurate, and in line with what you've likely researched. This eliminates the need for haggling and negotiations and puts the focus on finding you the vehicle of your dreams. Throughout the car shopping experience, we strive to provide the price you want, the knowledge you need and a dealership you can trust. Please contact us for further information or stop in and see us!






 (5.0) 1 consumer review | Write a review 



Live Chat: 

About the Dealer

 


Beverly Hills BMW 
5070 Wilshire Blvd Beverly Hills CA 90036 (Map) 
 877-412-7859  
(2.8) 4 reviews | Review this Dealer 



Used Car SpecialsNew Car Specials

See All Used Inventory | See All New Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/01.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/02.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/03.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/04.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/05.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/06.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/07.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/08.jpg","http://www.cstatic-images.com/preview/DMI/24234/PMF740446/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=100066049&listingRecNum=9&criteria=sf1Dir%3DDESC%26mkId%3D20028%26stkTyp%3DU%26mdId%3D20298%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId-mdId%26zc%3D60606%26rn%3D0%","1991 Mercedes-Benz 190190E 2.3, $4,491 - Cars.com"
