[ID],[Name],[details],[Image URL 1],[Image URL 2],[Image URL 3],[Image URL 4],[Image URL 5],[Image URL 6],[Image URL 7],[Image URL 8],[Image URL 9],[Page URL],[Page Title]
"1","1971 Plymouth Barracuda - $159,900","About This Barracuda 





Mileage: 96,965 
Body Style: Coupe 
Exterior Color: Black 
Interior Color: Black 
Stock #: C11600 
VIN: BH23G1B105488 


Engine: HEMI 
Transmission: OTHER 
CARFAX Record Check 




Seller's Notes: 1971 Plymouth Hemi Cuda Exterior: Black gloss with Black satin rear 1/4 panels No scratches, dings or dents Large Scoop shows through front hood custom wheels and tires Engine: All aluminum Indy Cylinder Head Motor 528 cid 1000+hp 1000 ft lbs of Torque Has all best equipment and parts fron Indy Cyl 8 quart swing arm Milidon Oil Pan TTI headers Ceramic Coated outside - Thermal Coated Inside 2-750 cfm Blower Carbs. by Demond Blower Shop 871 Blower -- 9lbs of Boost Trans - 727 Low Band Apply Valve Body Full Manuel reverse Shift Pattern Deep Pan 4800 Stall Coan Converter Kevlar Bands and Clutches by Cope Racing Trans Billet Servoes Big Pump Race Hubs and Planetary Gears Trans is good to 2000 hp+ CAUTION - Do not start burn outs in 1st gear. Start in 2nd gear and shift to high at 3500 rpm and hang on!!!!!! Rearend DTS Strange Rear end - Dana 60 4:10 Gears 31 Spline Axles Detroit Locker Cal Track System with Special Built Mono Leaf for this car Budnik 15x15 Custom Made Wheels Hoosier Quick Time 18.5 inch Wide Rear Tires DTS Back Plate Disc Brakes- Ford Units and Calipers with Emergency Brake Hubs Interior: custom roll cage custome interior with harness seat straps Documents Chrysler Corporation Car Production Broadcast Test Description : Accel. test - 600 rpm/second - Jan 10, 2005 17:47:28 . have any questions call Wilson : 888-287-9117






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Newport Beach Auto Gallery 
1805 Placentia Ave Costa Mesa CA 92627 (Map) 
 888-287-9117  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/2255704/C11600/01.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/02.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/03.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/04.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/05.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/06.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/07.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/08.jpg","http://www.cstatic-images.com/preview/DMI/2255704/C11600/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=94039962&listingRecNum=0&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1971 Plymouth Barracuda, $159,900 - Cars.com"
"2","1970 Plymouth Cuda - $150,000","About This Cuda 





Mileage: 45,000 
Body Style: Coupe 
Exterior Color: Yellow 
Interior Color: Black 
Stock #: 0124 
VIN: 11111111111111111 


Engine: 8 
Transmission: Automatic 
CARFAX Record Check 




Seller's Notes: 1970 Hemi cuda Convertable 45,000 miles all original






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Classic Connections 
3110 S Memorial Dr Greenville NC 27834 (Map) 
 866-609-4588  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/2408256/0124/01.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/02.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/03.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/04.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/05.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/06.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/07.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/08.jpg","http://www.cstatic-images.com/preview/DMI/2408256/0124/01.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=100822771&listingRecNum=1&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stk","1970 Plymouth Cuda, $150,000 - Cars.com"
"3","1968 Plymouth BarracudaSTOCK BO29 - $149,995","About This Barracuda 





Mileage: 5,000 
Body Style: Coupe 
Exterior Color: White 
Interior Color: Black 
Stock #: C1008L 
VIN: B029M8B390677 


Engine: HEMI 
Transmission: Automatic 
Doors: 2 
CARFAX Record Check 




Seller's Notes: The big news for 1968 A-bodies was the Super Stock 426 Hemi package, available in the Dart and Barracuda; around 50 of the latter were produced. This was a drag race only package, featuring a race-tuned Hemi and a seriously lightened body with acid-dipped doors, Lexan in place of glass, factory delete of anything not essential to life on the drag strip (e.g. back seat, sound deadener, window cranks). They had a little sticker which indicated that the car was not for use on public highways, but for ""supervised acceleration trials"" only. Running into the low to mid 8 seconds these cars dominated the top NHRA Super Stock classes (SS/A and SS/AA). Super stock was not for everyone but for the people that were involved it was EVERYTHING. Ed Miller actually raced this particular B029 in 1968 and was the original owner of this car. The history alone behind this car is so significant to the Super Stock Heritage. Just being able to race side by side with Sox & Martin must have been a true honor. Just imagine going up against the Ford Drivers Don Nicholson or Hubert Platt or against Chevy Drivers like Dave Strictler or Bill Grumpy Jenkins but more importantly running up against legendary cars such as the Boss 429s, Mach Is or the COPO Camaros or the rare Yenkos. But theres something that Plymouth had that would send chills up the spines of Ford and Chevy racers.It was the HEMI !! And could this Hemi see the sky!! You are viewing a true 1968 Plymouth Barracuda Super Stock B029 car. Was born with the Hemi Engine from the factory and now its the SS/AA spec Hemi built by legendary Ray Barton. (approx. $40k-$60k+). Ray Barton was known for extracting over 900 horses out of his engines. Let me say it again this is a real B029 68 Plymouth Barracuda Super Stock Car. This particular Cuda has been a popular West Coast competitor and made its way up to North BC and over to us in the North East. And over the LRA Enterprises is your one stop shop for everything Automotive! We offer: 1st Inspection and Emmissions Fees Free Financing Call us today for a test drive!! 877-835-2161!!






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

L.R.A. Enterprises 
3114 Veterans Hwy Bristol PA 19007 (Map) 
 877-835-2161  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/205006/C1008L/01.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/02.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/03.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/04.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/05.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/06.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/07.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/08.jpg","http://www.cstatic-images.com/preview/DMI/205006/C1008L/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=94040843&listingRecNum=2&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1968 Plymouth BarracudaSTOCK BO29, $149,995 - Cars.com"
"4","1970 Plymouth Cuda - $130,000","About This Cuda 





Mileage: 63,000 
Body Style: Coupe 
Exterior Color: Blue 
Interior Color: Blue 
Stock #: P5621 
VIN: BS23V0B217XXX 


Engine: 440 V8 Six Pack 
Transmission: Four Speed 
Drivetrain: RWD 
Doors: 2 
CARFAX Record Check 




Features: 






Number Matching / Rotisserie Restored In-Dash Tach AM Radio Original Polyglass Tires Has mini-spare with inflation canister

 







Standard Equipment: 






440 Six Pack `V? Code with Shaker B5 Blue / Blue Interior Four Speed Pistol Grip Dana Locking Rear-End

 







Seller's Notes: For more photos and information, please visit our website: www.billfittssportscars.com






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Phil Fitts Ford Lincoln 
3250 Wilmington Rd New Castle PA 16105 (Map) 
 877-668-3002  
(0.0) Not Yet Rated | Review this Dealer 



See All Used Inventory | See All New Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/MDC/29/452029/233038007.jpg","http://www.cstatic-images.com/preview/MDC/29/452029/233038008.jpg","http://www.cstatic-images.com/preview/MDC/29/452029/233038009.jpg","http://www.cstatic-images.com/preview/DMI/154752/P5621.jpg","http://www.cstatic-images.com/preview/DMI/154752/P5621.07.jpg","http://www.cstatic-images.com/preview/DMI/154752/P5621.08.jpg","http://www.cstatic-images.com/preview/DMI/154752/P5621.05.jpg","http://www.cstatic-images.com/preview/MDC/29/452029/199990406.jpg","http://www.cstatic-images.com/preview/DMI/154752/P5621.06.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=9897326&listingRecNum=3&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkTy","1970 Plymouth Cuda, $130,000 - Cars.com"
"5","1970 Plymouth RoadrunnerSuperbird - $119,900","About This Roadrunner 





Mileage: 27,849 
Body Style: Coupe 
Exterior Color: Lemon Twist 
Interior Color: White/Black 
Stock #: 70SUPERBIRD 
VIN: RM23V0A167047 


Fuel: Gasoline 
Engine: 440 V8 
Transmission: Automatic 
Drivetrain: RWD 
Doors: 2 
CARFAX Record Check 




Seller's Notes: GR Auto Gallery is pleased to offer this two owner, very original, fully documented 1970 Plymouth Superbird V-Code 440-6 Pack. This highly optioned ?Winged Warrior? features 390 hp, was ordered and purchased new at O?Shaughnessy Chysler Plymouth in Lansing, MI; special ordered and delivered with the following options: RM23 Superbird-8, Vinyl Bucket Seats, Performance Axle Package, Power Disc Brakes, Console, Torqueflite Transmission, Lemon Twist exterior paint, All tinted glass, Hood pins, Tachometer, Solid State AM Radio, Power Steering, Vinyl Roof, Stripe Delete, and 14 inch wheels and tires. Like many of these cars, the car features a replacement block that was replaced under the original ownership between 1970 and 1971. 

The current owner purchased this car in 1971 from the original exactly as it sits today with the exception of one repaint in its original color performed in 1982. The car features 27849 original miles and still retains all its original sheet-metal, original floors, original interior, original mechanical components with the exception of the short block. Documentation includes original window sticker, original fender tag, and original broadcast sheet, owner?s manual, dealer option manual, shop manuals etc. The car has been consistently maintained mechanically and today remains in excellent turn-key, drive anywhere condition... 

See more at http://www.grautogallery.com/details.php?id=909 GR Auto Gallery has a combined 60yrs of Automotive Experience and we are unmatched by any other dealer. Come view our large selection of fine automobiles in our 23,000sq foot indoor/heated facility. Internet sales is our speciality and we will make your purchase very simple and easy! Purchase a vehicle from us and you will not regret it!






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


GR Auto Gallery 
3851 Model Ct Grand Rapids MI 49512 (Map) 
 866-240-0120  
(4.3) 6 reviews | Review this Dealer 



See All Used Inventory | See All New Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/MDC/64/422664/731415397.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415398.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415399.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415401.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415402.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415403.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415404.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415405.jpg","http://www.cstatic-images.com/preview/MDC/64/422664/731415408.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=96974853&listingRecNum=4&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1970 Plymouth RoadrunnerSuperbird, $119,900 - Cars.com"
"6","1969 Plymouth RoadrunnerA12 - $95,900","About This Roadrunner 





Mileage: 58,116 
Body Style: Coupe 
Exterior Color: Black 
Stock #: 6912A 
VIN: RM23M9A262515**** 

CARFAX Record Check 




Seller's Notes: Are you looking for a Chippewa Valley Chevrolet dealer? Look no further than Nels Gunderson Chevrolet! Our sales team is ready to find the perfect new or pre-owned Chevrolet car, truck, van or SUV that you are looking for. Or a Chevy repair shop in the Chippewa Valley? we offer oil changes starting at $19.95! Hurry in for HUGE savings on all of our new and Pre-owned inventory!!! Nels Gunderson Chevrolet is a division of Osseo Ford and Rudy's of Whitehall We're the place where you'll feel at home.






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Nels Gunderson Chevrolet 
50859 Spruce Rd Osseo WI 54758 (Map) 
 866-475-4544  
(0.0) Not Yet Rated | Review this Dealer 



Used Car Specials

See All Used Inventory | See All New Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/157861/6912A.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.02.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.03.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.04.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.05.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.06.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.07.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.08.jpg","http://www.cstatic-images.com/preview/DMI/157861/6912A.09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=15838208&listingRecNum=5&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1969 Plymouth RoadrunnerA12, $95,900 - Cars.com"
"7","1970 Plymouth - $89,990","About This Vehicle 





Mileage: 1,080 
Exterior Color: Purple 
Interior Color: Black 
Stock #: X101309 
VIN: 0000BH23G0E101309 


Engine: HEMI 
Transmission: Manual 
CARFAX Record Check 




Seller's Notes: 1970 Plymouth hemicuda 472ci Hemi engine, all new parts TREMEC 5 speed manual A/C, power steering and disc brakes Rotisserie restored and purple everywhere! LOADED with desirable options! Original Los Angeles-built car All receipts from build! Some cars are born stars. The right colors, the right engines, the right options. They're bought for big money and kept in vaults. We sell those, so we're not knocking them one bit--they're simply for a different purpose. This car wasn't one of the chosen: Sand Pebble Beige with black body protection strips, a 318 2bbl and shift on the column automatic, and a dark green bench seat interior...this was one ugly duckling! Just like in the story, though, this one became a beautiful swan, and it's got HEMI power to boot! Start outside where you're looking at a very clean color change to one of Mopar's best, In-Violet (or Plum Crazy for the Dodge folks,) code FC7. Of course, nothings going to grab your attention like that big hole in the hood. Sure, Ford put shakers on the Mustang, but only Chrysler would cut one big enough to double as an escape hatch for the engine! The hoods steel, too and not one of those flimsy fiberglass jobs. The grille up front has been masterfully restored and the road lights are excellent reproductions. Sliding down the sides youll find the brand new Hemi callout stripes on the massaged sides. New door handles, a new antenna and buffed and polished window trim enhance the very purple scheme from nose to tail. The bumpers sport excellent chrome, while the dual mirrors went body color. The Go-Wing on the trunk, excellent taillights, a refinished tail panel and dual chrome exhaust tips stick out of the `Cuda lower valance round out the rear view. New rallye wheels with BFGoodrich Radial T/As (235/60 front and 255/60/15 rear) tires finish off what would have been a dream order sheet! Inside, youll spend your time sitting on restored black buckets--theyre the most visible part R&H Collectibles is a private collection of fine automobiles including classic, muscle, custom hot rods and sports cars. All of our vehicles are kept in an secure, indoor, climate controlled facility. They are checked and maintained regularly to ensure they are in top condition. This collection inventory is constantly changing. Please contact us for an appointment and private showing.







Live Chat: 

About the Dealer

 


R & H Motorcars 
6441 Davis Industrial Pkwy Solon OH 44139 (Map) 
 888-740-1824  
(5.0) 1 review | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/196011/X101309.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.02.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.03.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.04.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.05.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.06.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.07.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.08.jpg","http://www.cstatic-images.com/preview/DMI/196011/X101309.09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=84651309&listingRecNum=6&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1970 Plymouth, $89,990 - Cars.com"
"8","1971 Plymouth Cuda - $79,995","About This Cuda 





Mileage: 15,219 
Body Style: Coupe 
Exterior Color: Red 
Interior Color: White 
Stock #: WNY53 
VIN: 11111111111111111 


Engine: 8 
Transmission: Automatic 
CARFAX Record Check 




Seller's Notes: 1971 Plymouth Cuda Numbers Matching 383 Build Sheet Full Nut & Bolt Rotisserie!!!! Up for sale today at Online Auto Connection is this Pristine FULLY restored Numbers Matching 1971 Plymouth Cuda. This is Cuda has to be one of the HIGHEST optioned Mopars out there>>> it required Two fender Tags to list all of its luxuries. This Plymouth has the numbers matching 383/300HP HI-Performance Engine that purrs like a kitten. The 383 puts all 300 horses to the ground with the matching (d32) a727 automatic transmission and its stopped by the factory power assist Disc Brakes!!!! The FE5 Raylle Red w/ A White Vinyl Top paint on this Cuda is perfect and the nut and bolt rotisserie really stands out on this beauty. The Exterior of this Mopar has many options to really set it apart from ALL others like color keyed grill, Road Lamps (l34) + A01 Light Group, dual painted racing mirrors (G36), 3-Speed Wipers (J25), Hood Pins with Lanyards (J45), Sport Hood with Insulation (J54), Hood or fender mounted turn signal indicators (L31), Roof drip rail moldings (M21), wide sill moldings (M25), Belt & Hood moldings (M31), lower deck lid moldings (M88), Dual Exhaust with out tips (N41), Chrome exhaust tips (N42) and a full vinyl roof white (V1W). This highly optioned Cuda has the Vinyl non-reclining white bucket seats(c55) and black carpeting that is in perfect condition, Raylle Instrument Cluster (a62), Tachometer (N85), console with wood grain C16), Tinted glass (G11), rear window defogger blower type (H31), SINGLE AIR CONDITIONING w/heater (h51) and the am/fm Multiplex radio (R35) are just the start to all the options this Beauty has. Take a look at the under carriage of this car it is absolutely perfect painted to match. This Cuda is in the Chrysler Registry as #52 of 101 in sequence of 1971 Plymouth 383 4bbl Cuda 2 door hardtops registered sold new in the US, Which makes this a STUNNING and RARE piece of MOPAR history. Do Not Miss Out On This Once In A Lifetime Opportunity One question you should always ask - Why Should I Buy From This Dealership? I will answer that very easily. At Online Auto Connection Inc. We pride our self in Customer Service. We Enjoy selling Pre-Owned vehicles and Classic Muscle Cars. It is Fun to us not a job - NO PRESSURE SALES. We have 1000's of vehicles under our belt and Not to mention WE SELL ALL OVER THE U.S. and OVERSEAS. Also on eBay.






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Online Auto Connection, Inc. 
250 Lein Rd West Seneca NY 14224 (Map) 
 888-969-2789  
(3.0) 2 reviews | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/178662/WNY53/01.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/02.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/03.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/04.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/05.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/06.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/07.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/08.jpg","http://www.cstatic-images.com/preview/DMI/178662/WNY53/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=99883448&listingRecNum=7&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1971 Plymouth Cuda, $79,995 - Cars.com"
"9","1969 Plymouth GTX - $79,995","About This GTX 





Mileage: 85,000 
Body Style: Convertible 
Exterior Color: Red 
Interior Color: black 
Stock #: JC69 
VIN: RS27L9G225725 


Fuel: Gasoline 
Engine: 440 V8 
Transmission: automatic 
Drivetrain: RWD 
Doors: 2 
CARFAX Record Check 




Features: 






**Low Mileage**


Alloy Wheels




AM/FM Radio

 







Seller's Notes: Wow Look at this collectible, 1969 Last year of convertible production! 1 Of 698 produced, 440 V8 Auto, #'s match GTX Muscle! 
Call Executive Auto Sales 
866-918-6615 
www.executiveautori.com






 0 consumer reviews | Write a review 



Live Chat: 

About the Dealer

 


Executive Auto Sales 
296 Route 116 Smithfield RI 02917 (Map) 
 866-918-6615  
(5.0) 1 review | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace


















More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/MDC/89/2264789/709896991.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709896993.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709896994.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709896995.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709896997.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709896998.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709896999.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709897001.jpg","http://www.cstatic-images.com/preview/MDC/89/2264789/709897002.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=95066671&listingRecNum=8&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1969 Plymouth GTX, $79,995 - Cars.com"
"10","1970 Plymouth Barracuda - $72,675","About This Barracuda 





Mileage: 92,583 
Body Style: Coupe 
Exterior Color: Yellow 
Interior Color: Black 
Stock #: A171 
VIN: BH27G0B111973 


Fuel: Gasoline 
Engine: 5.8L 8 Cylinder 
Transmission: 5-Speed Manual 
Doors: 2 
CARFAX Record Check 




Seller's Notes: 1970 Plymouth Barracuda with a fresh 360/390hp crate motor (1000miles) mated to a Kiesler 5 spd and a Dana rear end. A Holley Street Avenger Carb has been added under the Shaker and Hooker competition Headers to let this Bad Boy Breath properly. Power steering and power disc brakes up front making this drive amazing. The quality of this restoration/modification is top notch. The paint is around three years old and shows like new. Please feel free to contact us if you have any questions in regards this 1970 Cuda and well be happy to answer properly. Financing & Extended Warranties Available. International & Nationwide Transportation Available. Pre-sale inspections are welcome and encouraged. We are always open to negotiate and we will surely make a deal with you!! Abreu Motors goal is to provide you with an excellent vehicle purchase and ownership experience. Please dont hesitate to contact us if you have any additional questions at 866-981-1537 or via e-mail at info@abreumotors.com. Our approach and objective is focused on building long-term relationships with our clients to serve as a valuable partner they can leverage over time to both find and sell high-line vehicles at a significant time and cost advantage. We strive to earn your trust and repeat business by serving as an advisor and exceeding your expectations with exceptional service and support.






 0 consumer reviews | Write a review 



Get Pre-Approved

Save time with Abreu Motors's credit application. They will help you finance your Plymouth Barracuda and get you into your vehicle today! The application is quick, easy and secure. Apply Online 




Live Chat: 

About the Dealer

 


Abreu Motors 
31 3rd St SW Carmel IN 46032 (Map) 
 866-981-1537  
(5.0) 1 review | Review this Dealer 



See All Used Inventory | Visit Dealer Website 


Print this ad and bring it to the dealer








Partner Marketplace













Financing
Good to Excellent Credit 
Rates starting at 2.99% for scores over 650
No credit, poor credit or bad credit. 
Get low interest, zero down auto finance options.




More Categories: Insurance | Credit | Finance | Inspections | Shipping Vehicle History | Car Buying | GPS/Navigation | Tires | Service
Car Audio","http://www.cstatic-images.com/preview/DMI/2222826/A171/01.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/02.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/03.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/04.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/05.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/06.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/07.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/08.jpg","http://www.cstatic-images.com/preview/DMI/2222826/A171/09.jpg","http://www.cars.com/go/search/detail.jsp?tracktype=usedcc&csDlId=&csDgId=&listingId=99165229&listingRecNum=9&criteria=sf1Dir%3DDESC%26mkId%3D20080%26stkTyp%3DU%26rd%3D100000%26crSrtFlds%3DstkTypId-feedSegId-mkId%26zc%3D60606%26rn%3D0%26PMmt%3D1-0-0%26stkT","1970 Plymouth Barracuda, $72,675 - Cars.com"
